message,true_sentiment,bert_sentiment
"327 toxic superfund sites in climate change, flooding bulls-eyes: â€œwe place the things that are most dangerous in sacrificeâ€¦",pro,pro
what's your plan for combatting climate change ? am i right ?,neutral,pro
climate change diminishes food supply; so we produce more; which exacerbates climate change.  #fo…,pro,pro
your mcm thinks global warming is a myth,neutral,neutral
"global warming is real, human caused, and already putting lives in danger.",pro,pro
case for climate change grows ever stronger  via,pro,pro
hrc proposes installing half a billion solar panels by the end of her first term. trump thinks climate change is a hoaxã¢â‚¬â¦,pro,pro
global warming nyc ,neutral,neutral
the tactics of creationism and climate change denial.,pro,pro
not global warming crap that's just normal always have been since i could remember,anti,neutral
six flags ticker symbol  #global warming simple essay,neutral,neutral
emissions reductions can no longer prevent dangerous climate change.'  #climatechange,pro,pro
"watch #beforetheflood right here, as  travels the world to tackle climate change  httã¢â‚¬â¦",pro,pro
"guardianeco: we can fix climate change, but only if we refuse to abandon hope | zoe williams ",pro,pro
these stunning timelapse photos may just convince you about climate change. ,pro,pro
do you know that how #climate change can effect your surroundings ? ,neutral,neutral
global warming isn't real,anti,anti
using his oscar speech to get his message out about climate change ,pro,neutral
millennials will lose $8.8 trillion in lifetime income because of climate change. we cannot afford to do nothing.,pro,pro
"reaching out in ne fife â€“ drought risk, climate change, agriculture and you!
talking about drought, climate change and farmiâ€¦",pro,pro
"an old cartoon of mine, but just as relevant today, as climate change denier scott pruitt works to subvert the core…",pro,pro
the next thing yall gonna start blaming us for is global warming ,neutral,neutral
death of coral reefs due to #climate change could be devastating for humans too  via,pro,pro
the earth is flat and climate change is not real and does not matter.,neutral,pro
good to see al gore back with a sequel to put climate change back on the agenda. do the world a favour and rt ,pro,neutral
does trump even know that his climate change rhetoric is nonsense? ,pro,pro
more than six in ten trump voters support taxing and/or regulating #climate change-causing pollution… ,neutral,pro
"ever had a tough conversation with a loved one about issues like climate change, vaccinations, and gmos?  is here toâ€¦",pro,pro
"just a reminder as you step out the door this morning that global warming is still real, regardless of, well, this. ",pro,pro
this is the climate change crisis of public (read: global) health. aka people aren't freaking out nearly enough. ,pro,pro
"be careful, ben. if you keep using words like anthropogenic climate change, you're going to confuse the global warming trutâ€¦",neutral,neutral
earthquakes are not caused by or related to climate change. ,anti,neutral
global warming is the biggest crock of shit ever uttered a scam for control and $$,anti,anti
"indeed, food security is proving to be a challenge across the globe due to climate change  …",pro,pro
"yes, science indicates hurricanes can be made stronger by climate change. yes, the  should #actonclimate…",pro,pro
there is no global warming says the founder of the weather channel ,anti,anti
"every year global warming becomes more and more evident, yet republicans want to deny it...",pro,pro
trump has climate change denial | missoulian in missoula ,pro,pro
the crosby ones are causing global warming,neutral,neutral
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
#2020dontbelate: 'we have three years to act on climate change':  ,pro,pro
"that smile could make global warming find a cure for itself, saving all of mankind because you are just… ",neutral,neutral
"not sure how  knows about the nametags, but we see  is mentioned in these hbs climate change… ",neutral,neutral
the fight against climate change continues to gain momentum despite the united states withdrawal from the paris agreemâ€¦,pro,pro
"may i ask, 'can you supply just one paper that proves climate change is real?'",anti,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
"the epa's climate change web page shall remain in place for now. at least until it can go away more quietly.
",pro,pro
breaking: senate appropriations committee just voted to restore vital funding for the un climate change panel—a big victo…,pro,pro
the democrats--with time on their hands--are working on some amazing ideas to end climate change on mars ,anti,pro
"donald #trump isn't just bad news for the us ã¢â‚¬â€œ when it comes to his #climate change beliefs, he's a danger to us all httã¢â‚¬â¦",pro,pro
if you don't know a ton about the paris agreement or how dangerous trump is to slowing climate change this will help hã¢â‚¬â¦,pro,pro
this new year terror attack in #istanbul has nothing to do with islam and everything to do with climate change. #turkey,pro,anti
"that's great news,the epa is a corrupt&amp;criminal new world order operative 4 communism,&amp;climate change believers lik…",anti,anti
"engineering the climate, then blaming you for global warming #carbontax #rockymountains  #opchemtr…",anti,neutral
"me now: nope!!

me in 10 years when global warming goes full throttle: *owns 5 pairs* ",neutral,neutral
", what's your take on alaska rural villages needing to relocate due to climate change with little to no assistance?",pro,pro
and ya'll thought global warming wasn't real -___-,pro,pro
"large dams fail on climate change and indigenous rights
 ",pro,pro
"climate change fight needs visibility: edp ceo - antonio mexia, ceo of edp, talks about the importance of visib... ",pro,pro
are there conservative climate change advocates? yes there are: meet the 'eco-right.' ,pro,pro
. 'debates on climate change &amp; endocrine disruptors have suffered from distortion of evidence by industrially…,neutral,pro
"my book about what one person can do about climate change! no guilt, just roll up those sleeves and do all you can
",pro,pro
we need healthy forests to fight climate change. #intforestday ,pro,pro
so how little of a brain does it take to support an administration that doesn't believe in climate change? ,pro,pro
forked-tongue: candidate jill stein 'my ag will prosecute exxon for lying to the world about climate change.' she i…,anti,pro
when will liberals finally agreeing that isis is a bigger threat than climate change?,anti,anti
fuck global warming my neck is so frio,neutral,neutral
climate change- taking on the threat of climate change and making america the worldã¢â‚¬â„¢s clean energy sã¢â‚¬â¦,pro,pro
us top organization for meteorology refute epa administrator’s recent comments on the role of co2 in climate change…,pro,pro
"if we do not address the global crisis of climate change, the planet we$q$ll leave our kids may well not be habitable. that i…",pro,pro
"if you really care about climate change, boycott earth hour ",pro,pro
the $280 billion a year coastal cities are spending on climate change is propelling some ingenious engineering ,pro,pro
"bw extreme climate change and peak humanity around 2050 it's crucially important to renew social contracts now. later, harder,…",pro,pro
"when the right had to 'endure' obama, they got health care, some attention to global warming, etc. what the left endurã¢â‚¬â¦",pro,anti
my speech on the power of #photography in #advocacy for #climate change. thank you #ocyap  for giving…,pro,pro
"vote  for the #btsbbmas top social artist award

rt to end global warming 

today we fight ",pro,pro
there won't be a race if we don't do anything about climate changeâ€¦ ,pro,pro
linking climate change to ecosystem assembly and functioning #researchfeatures ,pro,pro
me wondering why itâ€™s 70 degrees in january but i know itâ€™s really global warming ,pro,pro
sorry global warming liars... arctic sea ice today is about the same thickness as it was 75 years ago. ,anti,anti
"countries like #somalia paying the heaviest price for climate change with more frequent, severe droughts. needs hel…",pro,pro
well that was embarrassing.  a concensus of scientists on global warming isnt science its a group of people… ,anti,pro
"no snow where there should be. bleached anemones. cracks in the ice. this is what climate change looks like :o

by: paâ€¦",pro,pro
#california won't meet its #climate change goals without a lot more #housing density in its cities ,pro,pro
america will not be great again. &amp; our earth is doomed as well because of a man who believes climate change was created by the chinese. bye.,pro,pro
#kadvihawatrailer launch: a powerful tale of climate change   #tillotamashome…,pro,pro
watch phoenix's  discuss how mayors of cities across america stepped up to fight for climate change po… ,pro,pro
"the briefing crid:4l4v57 ... will just have to just adapt to climate change, expecting more of the same. richard forrest ...",neutral,neutral
"we believe in dreamers, climate change and healthcare for all. we build futures, not walls. we are californians. we are…",pro,pro
"how the political denial of climate change makes things worse even at the local level.
",pro,pro
is veganism the way to beat climate change? a thought-provoking look at the future of food with dr marco springmann…,pro,pro
14 islands threatened by climate change  ,pro,pro
"80% of petroleum geochemists don't believe climate change is a serious problem' -- still a bad analogy, but one le… ",pro,pro
at #cop23 in bonn today - determined that scotland will continue to lead by example in tackling climate change. ,pro,pro
what about global warming ? @ liberals . thank you  for defunding it ðÿ‡ºðÿ‡¸ðÿ‡ºðÿ‡¸ ,anti,anti
"through #climate change denial, we're ceding global #leadership to #china.  ",pro,pro
#badlands climate change tweets have now been deleted but never forget they existed. ,pro,pro
watch live: amy poehler’s  talk science and climate change at 3:30pm est for :…,neutral,neutral
dear washington climate change deniers. mother nature has an important message she will be delivering; the messenge… ,pro,pro
that mix is for speeding up global warming boss. ðÿ”¥ðÿ”¥,neutral,anti
"highlighting the impact of climate change, drowning world focuses on the effects of flooding on every day lives. ",pro,pro
#kasich is a global warming idiot. does he know this is a republican debate? global warming is a complete hoax. #gopdebate,anti,pro
"this government's major planning reforms don't even mention climate change, what a joke ",pro,pro
if  talks to  about climate change and makes japan pay for a hyper loop to asia (love ya japan) i'll get a boner.,neutral,neutral
people who own androids and use snapchat are the reason for global warming and the ongoing war in the middle east,neutral,neutral
'the concept of global warming was created by and for the chinese in order to make u.s. manufacturing non-competitiã¢â‚¬â¦,pro,pro
pnwsocialists: best resources for me to keep up to speed on climate changes and global warming? via /r/climate …  #…,pro,pro
alexa stop climate change,neutral,neutral
'sundance filmgoers warn of ‘global warming’ impacts. warn 'criminal’ deniers: ‘we are coming for you’' ,neutral,pro
"fifty degrees in january 
and frankly it seems a little bit scary, 
when all the climate change deniers 
suddenly get awfully quiet.",pro,pro
"newt is insane, what science degree does rick perry have, he is a climate change denier nutbag",pro,pro
also supports abortion as it's good for fighting climate change . less people = less waste.,pro,pro
"44% of bee populations died last year due to pesticides &amp; climate change. when the bees go, we go.",pro,pro
yes and no - it isn't very clear what she means to do here .. climate change ? it is almost as if itâ€¦ ,neutral,pro
none except gurmeet singh had taken the step to remove danger of global warming from the earth. ,pro,pro
"well at least climate change is really, really pretty. ",neutral,neutral
what will it take for you to open your eyes to global warming!! help the oil and gas companies?!,pro,pro
“an increasingly warming planet calls for widespread use of sustainable energy sources like solar energy.”… ,pro,pro
"okay, scott: when should we talk about climate change? on the 13th of never?",pro,pro
"at #cop22? attend 'global carbon budget 2016 and its implications for meeting global warming targets'
14 nov 16:45ã¢â‚¬â¦",pro,pro
"if obama buys a house on martha's vineyard, he's not concerned about climate change and rising sea levels period.",neutral,anti
(btw none of this has to do with climate change it's just weather lololololol),anti,anti
incoming house science committee member has said climate change is “leftist propaganda.” he should fit right in. ,pro,neutral
climate change may push 100+ million into poverty in the next 15 years. -   #cop21 ,pro,pro
how we know that climate change is happening—and that humans are causing it  ,pro,pro
actually very proud we have a climate denier in the white house because climate change doesn't exist! have these so-calâ€¦,anti,pro
"we have plan to reverse global warming. 

learn about it here:



#climatechange #revolution…",pro,pro
society saves $6 for every dollar spent on climate change resilience  ,pro,pro
govt$q$s inaction on the auckland housing crisis is precisely the same panic we$q$ll see due to their inaction on climate change. e…,pro,pro
hrc proposes installing half a billion solar panels by the end of her first term. trump thinks climate change is a hoaxã¢â‚¬â¦,pro,pro
the delusions of climate change religion. justify poor character and action because 'i'm saving the world'. ,anti,anti
why i decided to write a novel about catastrophic climate change for teenagers | james bradley ,pro,pro
"seeing trump supporters posting earth day pics like 

u voted for a climate change denier

u voted for the defunding of th…",pro,pro
seed mob: indigenous youth run climate change organisation ,neutral,pro
my parents clearly know everything about global warming �� tag a friend who uses �� emoji so they know what’s up.…,neutral,neutral
....but climate change is a liberal hoax ,pro,anti
before the flood--leonardo dicaprio speaks to scientists &amp; world leaders about climate change  #climatechange,pro,pro
new photo essay on climate change: ,pro,neutral
why you shouldnã¢â‚¬â„¢t trust climate change deniers -  ¢â‚¬â„¢s reality check ,pro,pro
vanuatu #vcap project sight visit and board meeting in pentecost island. #gef ldcf funded adaptation to climate change. #â€¦,pro,pro
people don't believe in global warming because it's more convenient for them to not take responsibility for their actionsã°å¸ëœå,pro,pro
"find out how the oil and gas industry convinced the executive branch to stall on climate change action.

",pro,pro
"watch #beforetheflood right here, as  travels the world to tackle climate change  httã¢â‚¬â¦",pro,pro
"if global warming was a real problem, climate scientists wouldn't have to cheat, lie and tamper with data.",anti,anti
well climate change has been proven with factual science that its real &amp; is not 'horribly wrong'. take he… ,pro,pro
"pro fox hunting &amp; death penalty
denies climate change 
opposes gay marriage &amp; abortion
paul nuttall: poundshop trump htt…",pro,pro
"despite fact-checking, zombie myths about climate change persist – bake media!    ",neutral,anti
"#upgradethegrid video shows how to turn down dirty power plants, clean our air, fight global warming &amp; save us money ",pro,pro
oil &amp; gas as part of the solution to global warming: materials. read ,pro,pro
"if lefties are so worried about climate change &amp; methane gas, they should clean up the fish shit in our oceans! ��",anti,anti
fao. the food and agricultural sectors need to be at the center of the global response to climate change.'â€¦ ,pro,pro
trump does not believe in global warming. we are next. we need to vote the republicans out. our lives and the lives of oâ€¦,pro,pro
"the #sotu had no mention ofâ€¦
âœ–ï¸sexual assault or the #metoo movement.
âœ–ï¸the urgent need for action on climate change.
âœ–ï¸coâ€¦",pro,pro
i just aint believing all that global warming bunk. ,anti,anti
another thriving market for goldman$q$s carbon credits to corner  ,anti,pro
trump climate change: 'he wants to get rid of a very large part of obama's environment legacy' ,neutral,neutral
"but also hoping she stays incredibly safe. i know it was not my finest moment, but...well...climate change needs to be dea…",neutral,pro
a government shutdown will interrupt critical climate change research  ,pro,pro
how can global warming be real when rihanna got this much ice ,neutral,neutral
"let that sink in, a continent that is basically all ice just hit 63.5 f, y'all still wanna tell me climate change i…",pro,pro
"hollywood actor: climate change is real guys, save the planet, save humanity. bollywood actor: 25 years of vimal pan masala…",pro,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
"if we are getting killed by global warming, we gona make it look sexy. ",neutral,neutral
because he$q$s a progressive ,neutral,pro
"other countries should move on w/o us, if we're going to be hostile to environment &amp; climate change, to be pro-war.
…",pro,pro
"when someone tells you there’s no scientific consensus on climate change, they are lying to you:…",pro,pro
"the 2018 climate change calendar does not fall short of interesting events, as  explainsâ€¦ ",neutral,pro
we've never met personally but i have witnessed you say that queers need to suck it up and that climate change does… ,anti,neutral
securing a future for coral reefs will require urgent action to reduce global warming.  via,pro,pro
as legit as the climate change explanation ,neutral,neutral
"no but seriously, oj is getting out.... he will kill us all. this is more ominous than global warming",neutral,pro
dude u think climate change is a chinese hoax. that's all you need to know about yourself,pro,pro
imagine if there was a climate change and singapore starts to be cold.,neutral,neutral
"probably, but i'll keep fighting against the climate change monster until i can't type.",pro,anti
#china briefing: china acting on climate change:  provides the full transcript of the s... ,neutral,pro
look at all the climate change deniers vying for jobs in the trump administration  via ¢â‚¬â¦,pro,pro
"simple. i believe in climate change, a woman's right to choose, gun safety &amp; the wealthy paying their fair share. tã¢â‚¬â¦",pro,pro
does anyone think global warming is a good thing? i love  . i think he's a really interesting mutual.,neutral,neutral
"2010-2017, so sad to see what climate change has done to the grand canyon �� ",pro,pro
i don't believe in climate change but humans are killing the planet with the pollution we create,pro,pro
.: it is important to start the transition to clean energy dahil tinatamaan na tayo ng global warming #pilipina…,neutral,pro
i found the root cause of almost every problem: people. everything from an argument to climate change can be solved by…,neutral,pro
we need to act now to fight the effects of climate change #fightunfair! ,pro,pro
"cdc abruptly cancels long-planned conference on climate change and public health.

the ostrich plan for security. ",pro,pro
maybe if dt visited chicago today he'd start believing in global warming,pro,neutral
â€˜we are not involved in green bonds as we invest in areas that yield more risk. green bonds wonâ€™t stop global warming.â€™,pro,pro
these mayors from around the u.s. are taking a strong stance to fight climate change. #thefeed ,pro,pro
this honestly makes me so sad i$q$ve always wanted to visit this place ,pro,pro
potus condemns the heinous attack in istanbul. it's a stark reminder that we can't take climate change lightly.,anti,pro
shameful is that you haven't done the world a favor and killed yourself yet. do your part for global warming.,neutral,pro
"boosting global access to water is critical, with climate change bringing decreased rainfall, rising temperatures. ",pro,pro
"watch #beforetheflood right here, as  travels the world to tackle climate change  httã¢â‚¬â¦",pro,pro
"now is the time to prepare for the health impacts of climate change. ensure a healthy environment for all this #nphw, #climatechangeshealth",pro,pro
it's not global ' warming ' ... ' global warming ' is fake news ... now in southerâ€¦ ,anti,anti
"i'm 80 yrs old, and i have listening to the global warming hoax since i was a teen &amp; guess what, nothing has happened.",anti,anti
and some say global warming isn't real ,pro,pro
palau: on the frontline of climate change in the south pacific ,pro,pro
wonderful to see portfolio $q$environment &amp; climate change.$q$ now to see real action. #climate welcome catherine mckenna! #c…,pro,pro
tv networks that have been turning a blind eye to climate change are doing a major disservice to their viewers: ,pro,pro
adapting to climate change a major challenge for forests ,pro,pro
"if our elected leaders fail to approach the environment &amp; climate change as serious issues worthy of urgency &amp; action, it wiã¢â‚¬â¦",pro,pro
because of global warming we will be fertilizing your food with human waste. u gonna be lovin the new ferber ,pro,neutral
"what are climate change hot spots?  #climatechange #climateaction
#environment
#energy ",pro,pro
how can you ignore the signs? 'there is no scientific proof of climate change' we have a blind president ,pro,pro
because global warming is a real threat! ,pro,pro
if global warming isn't real how come club penguin is shutting down?,neutral,neutral
a 70 year old moron who thinks climate change is a hoax hired a band to celebrate the earth dying faster. this is beyond…,pro,pro
trump thinks climate change is a hoax... #imwithher #debate ,pro,pro
"talk about a current event! el niño is killing coral reefs &amp; climate change will only make it worse. ()
htt…",pro,pro
wither globalization asia times climate change effects around the world - ,neutral,pro
shame on the catholic church lead by the lousy pope 4 not slamming clintons attack on catholics pope is 2 busy with global warming,anti,anti
"extra credit: this is a much-needed reminder when facing an issue as large as climate change. thanks,ã¢â‚¬â¦",pro,pro
"the guardian: on climate change and the economy, we're trapped in an idiotic netherworld. 
#climatec…",pro,pro
"worth a watch and i believe it has sincere intentions, but came off preachy to me, someone who believes climate change...",pro,pro
says the man who doesn't believe in global warming... ,pro,pro
"documentary w leonardo dicaprio about climate change. free to watch for a few more days, so interesting &amp; important
httã¢â‚¬â¦",pro,neutral
coral bleaching caused by global warming is a major threat to the habitat of hawksbills  ,pro,pro
building a wall is obv more imp to most americans than climate change ã°å¸â„¢â€žã°å¸ëœâ¡xx,pro,pro
"cutting funding for climate change research, hud, and meals on wheels.",neutral,pro
"no son, i don't know what happened to the climate change tweets from earlier either.' ",neutral,neutral
how is climate change a feminist issue? in 1 hour tune in for girls' perspective on climate action for the #earthtomarrakech diã¢â‚¬â¦,pro,pro
"i propose, due to all of this so called global warming, that we allow people to wear less clothing.  like all the time...",anti,neutral
please vote no for pruitt for epa - he doesn't believe in climate change and doesn't care for the environment.,pro,pro
man-made #climate change making kindling of america$q$s forestlands  #keepitintheground ,pro,pro
world leaders duped by manipulated global warming data - daily mail -  ,anti,anti
preventing climate change means reforming money and finance ,pro,pro
independent tests have verified our motor oils have a 67% lowered global warming potential- choose green with glus ,pro,pro
river piracy' is the latest weird thing to come out of climate change  ,pro,pro
"'by 9 of us resigning, we felt weâ€™d be able to get the microphone briefly... climate change, preserving the natural diversiâ€¦",pro,neutral
amy goodman: trump's lies on climate change 'all but guarantee a future filled with more &amp; more deadly disasters' ,pro,pro
"'according to this new research, if the international community fails to reach their regulatory goal, climate change will likelâ€¦",pro,pro
what in the world does racial justice have to do with global warming. these people are nutcases.,neutral,anti
how climate change weakens coral 'immune systems' -   ,pro,pro
maybe we should all start gold leafing our trash i heard gold could reverse global warming,neutral,neutral
"rt - bestdiabetestip - when enough people care about autism or #diabetes or global warming, it helps everyone, eve… ",pro,pro
"with unrelenting natural disasters, we feel mounting fears of increased devastation brought on by climate change: ",pro,pro
"it$q$s possible to simultaneously believe man-made climate change needs tackling and that heathrow should expand, you kno…",pro,pro
"trump immediately mentions the floods, fires, hurricanes, and storms caused by climate change. bets that he'll mention #â€¦",neutral,pro
label the folder 'confirmed global warming data.' they'll burn it. ,pro,anti
these maps provide $q$a glimpse of our future if nothing is done to slow climate change$q$  via,pro,pro
"$q$donald trump? well, like most republicans, he chooses to reject science. he believes that climate change is a $q$hoax.$q$”…",pro,pro
,neutral,neutral
its been that long ago? dang time flies! bet climate change has sum thing to do with it too!,neutral,anti
diet change must be part of successful climate change mitigation policies'. less meat = less heat &amp; reduced health… ,pro,pro
can carbon capture and storage help us deliver on climate change? - ,pro,pro
"mike pence is also dangerous not just to women and women$q$s health, but also to glbt, global warming and clean energ…",pro,pro
"one would think floridians would care about climate change, rising oceans, and breathing!! money and greed can be... ",pro,pro
obama talked climate change and connections to extreme weather in address to coast guard cadets. our story on topic: h…,neutral,pro
we will be the only developed nation in the world led by a climate change denier. ,pro,pro
"we are like, what, three weeks from thanksgiving and i have my windows open in the house. who said global warming is fake?",pro,pro
u.s. &amp; europe tried to get climate scientists to downplay lack of global warming over last 15 years  #tcoã¢â‚¬â¦,anti,anti
did u guys know jung hoseok is literally the sun himself he is why we have global warming guys #thankyouhoseok ,neutral,neutral
of course al gore announces a new global warming movie as the us gets an arctic blast. #goreeffect ,anti,anti
epa's scott pruitt said co2 isn't 'a primary contributor' to global warming. scientists say it is: ,pro,pro
"scale of migration in africa expected to rise due to accelerated climate change. , head of our africa offã¢â‚¬â¦",pro,pro
"watch #beforetheflood right here, as  travels the world to tackle climate change  httã¢â‚¬â¦",pro,pro
let’s take the lead on a serious worldwide counterterror force to replace the silly global warming non-binding and said yes.,anti,pro
i just signed a petition to ask #generali to quit #coal. stop funding toxic #airpollution and climate change - diveâ€¦ ,pro,pro
"we have only one earth. it is our responsibility--all of us--to protect it, so it can protect us too. ",pro,pro
the us is electing this man to rule their country........... ,pro,pro
top eight climate change infographics:  #actonclimate ,pro,pro
"is your climate change analysis similar to the 'flat earth' concept? we have no way to verify, justâ€¦ ",neutral,anti
'density is one of the best things we can do to fight climate change.' #sayyesfordsite #fordsite #sayyesstpaul ,pro,pro
'paris agreement 2015/art.2: aims to strengthen the global threat of climate change.' ,pro,pro
"icymi: we debated whether los angeles should sue major oil companies for their role in climate change, wâ€¦ ",pro,pro
#norway will divest from #coal in push against #climate change   interesting trend,pro,pro
"remember, job insecurity, housing unaffordability, pressure, climate change etc impact young people and their health. #qan…",pro,pro
"ðÿš¨new york's nanny ðÿ‘‰bill de blasio divests new york pensions, sues oil companies for climate changeðÿš¨ 

#climatechangehoax #glâ€¦",anti,anti
"just a reminder than climate change hypocrite trudeau is a #keystonexl pipeline enabler, sending filthy alberta tar… ",pro,pro
"when they started the eko atlantic city, each time i pass through bar beach road, i wonder about climate change thre…",neutral,neutral
#adoftheday: al gore's stirring new climate change #ad calls on world leaders.   ðÿœž,neutral,pro
when the 'current political climate' and climate change are simultaneously devastating..,pro,pro
"see also: public ed/higher ed funding, climate change, wage suppression, social safety net, public infrastructure, affordable housing…",neutral,pro
so many meltdowns these days. ah! yes! it's global warming. private jets really help prevent thisâ€¦ ,pro,neutral
